ID,topic,expansion.mechanism,niche.concept,application,niche.measurement,benefactor,benefactor.life.form,benefactor.family,beneficiary,beneficiary.life.form,beneficiary.family,ecosystem,lat,long,country,elevation.m
31,Niche differentiation during ontogeny,Spatiotemporal niche (differentiation through time),spatiotemporal,Coexistence and prediction,"Several techniques from transplants, spatial patterns and biochemical assays",Stipa tenacissima,tussock grass,Poaceae,Lepidium subulatum,shrub ,Brassicaceae,semi-arid steppe,40.16666667,-3.616666667,Spain,526
32,Facilitation to competition change alters phylogenetic structure of the community,Regeneration niche,evolutionary,Coexistence and assembly over time. Network stability and invasion,Field surveys on shrubs/cacti combined with network and phylogenetic analyses,Several shrubs,shrub,,seedlings of perennial plants,,,semi-arid shrubland,18.4665,-97.4004,Mexico,
33,Regeneration niche in a stress gradient over 5 years (self-facilitation),Regeneration niche with local (site) adaptation,regeneration,Regeneration niche and reforestation,Transplant experiment monitored over 5 years with seeds from different procedence and planted in a stress gradient,Betula pubescens,tree,Betulaceae,Not evaluated,,,sub-arctic forest,67.56666667,33.68333333,Russia,
36,"Niche segregation between shrub and grass communities and how these are different, als o in relation to fire disturbance",Spatial niche (niche differentiation),segregation direct,"Shrubland grassland transitio, coexistence",Field surveys in both communties with env variables and multivariate stats,Acacia aneura,shrub,Fabaceae,several,,,semi-arid grassland,-23.7,133.8666667,Australia,
37,"Phylogenetic distance predicts balance of interactions, where more related species compete more",Evolutionary niche (phylogenetic niche segregation,evolutionary,Coexistence and community assembly,Phylogenetic distances on surveys of spatial association with 3 nurse communities,Several shrub and cacti,shrub and cacti,,several,,,arid shrubland,18.33333333,-97.55,Mexico,
39,Temporal (ontogenic) shift from facilitation to competition,Temporal niche (ontogenic niche),spatiotemporal,Coexistence,"Census on tagged Ambrosia individuals very 5 years for 10 years. 4 clases: open/shrub, and clumped/isolated",Several shrub and cacti,,,Ambrosia dumosa,shurb,Asteraceae,arid shrubland,33.76666667,-115.7833333,USA,1006
40,Quaternary nurses facilitate tertiary species,Temporal niche (regeneration niche over geological eras),regeneration,Coexistence and conservation,Large dataset (mediterranean) and field determination (Mexico) of nurse syndromes and Quaternary/Tertiary origins,Several,,,several,,,arid shrubland,,,many,
41,Shrubs provide safe sites for herbs under herbivory,Spatial niche (safe site),indirect niche,Coexistence,"Herbivore exclusion and monitoring of plants growing in open and understory microsite, over a 7 year experimennt",several shrubs,shrub,,Erysimum mediohispanicum,herb,Brassicaceae,open pine,37.33333333,-3.666666667,Spain,1900
43,"Regeneration niche of a shrub is preferably found in open microsites, not related to the canopy of Artemisia tridentata",Regeneration niche (canopy effects and rainfall),regeneration,Recruitment and climate change,Field experiment manipulating water to predicted climate change levels and planting seedling in open/understory microsites,Artemisia tridentata,shrub,Asteraceae,Purshia tridentata,shrub ,Rosaceae,arid shrubland,37.61666667,-118.8333333,USA,2100
46,"Regeneration niche analysis of 8 species, showing some of them required nurses while others did not",Regeneration niche,regeneration,Coexistence and regeneration,Biotic and abiotic characteristics measured using surveys on naturally occurring seedlings,Aspidosperma quebracho-blanco,tree,Apocynanceae,All of the previous as seedlings,,,semi-arid forest,-31.36666667,-65.43333333,Argentina,
47,Rainfall effects on the regeneration niche of Q. emoryi,Regeneration niche (spatial),regeneration,Climate change effects on regeneration,"Field experiment manipulating rainfall with measures of survival, biomass, growth and size",Quercus emoryi,tree,Fagaceae,not evaluated,,,woodland-grassland ecotone,31.48333333,-110.3333333,USA,1550
50,"Spatiotemporal niche, spatial patterns between species change with ontogeny",Spatiotemporal niche (spatial partioning changing through time),spatiotemporal,Coexistence and assembly over time,One 100mx20 m plot was mapped and analyzed with spatial stats using size classes for shrubs,Retama sphaerocarpa,shrub,Fabaceae,juveniles of several shrubs,,,semi-arid shrubland,37.13333333,-2.366666667,Spain,630
51,Spatial niche (hydrological) of 3 shrubs and a grass as they use water in coexistence,Spatial niche (hydrological),segregation direct,"Coexistence, community assembly and management","Watering experiments and monitoring of its use by the target species (water potential, root elongation)",Flourensia cernua,shrub,Asteraceae,not evaluated,,,arid shrubland,26.66666667,-103.6666667,Mexico,1100
52,Regeneration niche for 3 shrub species,Regeneration niche,regeneration,Plant recruitment,"Two factorial experiments: shade/water, and shade/soil type","Encelia canescens, Flourensia thurifera, Pleocarphus revolutus",shrub,Asteraceae,not evaluated,,,arid shrubland,-29.7166667,-71.233333,Chile,150
61,"Evolutionary niche, tertiary and quaternary species benefit differently from facilitation",Evolutionary niche (phylogenetic niche segregation,evolutionary,Coexistence and community assembly,Field experiment where seeds from different lineages were sown under the same nurse,Ononis tridentata,shrub,Fabaceae,"10 species: 5 Tertiary, 5 Quaternary",shrub ,,semi-arid shrubland,38.26,-0.83333,Spain,350
63,"Spatial niche, partioning between a nurse plant and protégé species, with measurement of abiotic characteristics",Spatial niche,segregation direct,Coexistence,Field survey with measurement of abiotic characteristics,Nitraria sphaerocarpa,shrub,Nitrariaceae,several,,,arid shrubland,39.366667,100.13333,China,1380
64,"Ontogenetic niche differences, as well as species specific effects",Spatiotemporal niche (ontogenetic),spatiotemporal,Coexistence and beta diversity enhancement,Multi-factoria experiments where 5 beneficiary species were sown under 3 benefactors,"Cnidoscolus quercifolius, Mimosa tenuiflora, Poincianella microphylla",shrub,"Euphorbiaceae, Fabaceae, Fabaceae","Amburana cearensis, Aspidosperma pyrifolium, Erythrina velutina, Myracrodruon urundeuva, Poincianella pyramidalis",trees,"Fabaceae, Apocynaceae, Fabaceae, Anarcadiaceae, Fabaceae",semi-arid shrubland,-9.329167,-40.5476667,Brazil,390
65,Regeneration niche (juveniles) of several species along a large environmental gradient,Regeneration niche,regeneration,Coexistence and climate change,Survey of juveniles along 54 study zones,Several,shrub,,several,woody,,arid shrubland,,,Spain,
66,Regeneration niche of an endangered cycad,Regeneration niche,regeneration,Recruitment of an endangered species,"Measurement of functional traits in relation to ontogenic stage, relation to environmental gradients as well",Dioon sonorense,shrub,Zamiaceae,Dioon sonorense,shrub,Zamiaceae,semi-arid,27.25,-108.75,Mexico,1000
68,Spatial niche partioning from spatial stats,Spatial niche,segregation direct,Coexistence,Total comunity mapping and spatial stats,Several perennial,,,several perennials,,,semi-arid shrubland,40.2694445,-3.135555,Spain,780
