search.year,ID,Author,Title,Journal,Vol,DOI,Year
2016,26,"Kambatuku, Jack R.; Cramer, Michael D.; Ward, David",Savanna tree-grass competition is modified by substrate type and herbivory,JOURNAL OF VEGETATION SCIENCE,22,10.1111/j.1654-1103.2010.01239.x,2011
2016,27,"Soliveres, Santiago; Eldridge, David J.; Maestre, Fernando T.; Bowker, Matthew A.; Tighe, Matthew; Escudero, Adrian",Microhabitat amelioration and reduced competition among understorey plants as drivers of facilitation across environmental gradients: Towards a unifying framework,PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,13,10.1016/j.ppees.2011.06.001,2011
2016,28,"Bowker, Matthew A.; Soliveres, Santiago; Maestre, Fernando T.",Competition increases with abiotic stress and regulates the diversity of biological soil crusts,JOURNAL OF ECOLOGY,98,10.1111/j.1365-2745.2010.01647.x,2010
2016,29,"Cipriotti, P. A.; Aguiar, M. R.",Resource partitioning and interactions enable coexistence in a grass-shrub steppe,JOURNAL OF ARID ENVIRONMENTS,74,10.1016/j.jaridenv.2010.05.006,2010
2016,30,"Leger, Elizabeth A.; Espeland, Erin K.",The shifting balance of facilitation and competition affects the outcome of intra- and interspecific interactions over the life history of California grassland annuals,PLANT ECOLOGY,208,10.1007/s11258-009-9710-4,2010
2016,31,"Soliveres, S.; DeSoto, L.; Maestre, F. T.; Olano, J. M.",Spatio-temporal heterogeneity in abiotic factors modulate multiple ontogenetic shifts between competition and facilitation,PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,12,10.1016/j.ppees.2010.02.003,2010
2016,32,"Verdu, Miguel; Jordano, Pedro; Valiente-Banuet, Alfonso",The phylogenetic structure of plant facilitation networks changes with competition,JOURNAL OF ECOLOGY,98,10.1111/j.1365-2745.2010.01731.x,2010
2016,33,"Eranen, Janne K.; Kozlov, Mikhail V.",Interactions between mountain birch seedlings from differentiated populations in contrasting environments of subarctic Russia,PLANT ECOLOGY,200,10.1007/s11258-008-9441-y,2009
2016,34,"Uriankhai, Tselmeg; Liu Mao-Song; Huang Zheng; Chen Bin; Zhang Ming-Juan; Xu Chi",DISTRIBUTION PATTERN OF ROOT BIOMASS AND INTER-SPECIFIC RELATIONSHIP IN ACHNATHERUM SPLENDENS-SOPHORA ALOPECUROIDES COMMUNITY IN NORTHWEST CHINA,Chinese Journal of Plant Ecology,33,10.3773/j.issn.1005-264x.2009.04.013,2009
2016,35,"James, J. J.; Davies, K. W.; Sheley, R. L.; Aanderud, Z. T.",Linking nitrogen partitioning and species abundance to invasion resistance in the Great Basin,OECOLOGIA,156,10.1007/s00442-008-1015-0,2008
2016,36,"Nano, Catherine E. M.; Clarke, Peter J.",Variegated desert vegetation: Covariation of edaphic and fire variables provides a framework for understanding mulga-spinifex coexistence,AUSTRAL ECOLOGY,33,10.1111/j.1442-9993.2008.01855.x,2008
2016,37,"Valiente-Banuet, Alfonso; Verdu, Miguel",Temporal shifts from facilitation to competition occur between closely related taxa,JOURNAL OF ECOLOGY,96,10.1111/j.1365-2745.2008.01357.x,2008
2016,38,"Mamolos, AP",Temporal differentiation in maximum biomass and nutrient accumulation rates in two coexisting annual plant species,JOURNAL OF ARID ENVIRONMENTS,64,10.1016/j.jaridenv.2005.06.017,2006
2016,39,"Miriti, Maria N.",Ontogenetic shift from facilitation to competition in a desert shrub,JOURNAL OF ECOLOGY,94,10.1111/j.1365-2745.2006.01138.x,2006
2016,40,"Valiente-Banuet, Alfonso; Rumebe, Adolfo Vital; Verdu, Miguel; Callaway, Ragan M.",Modern quaternary plant lineages promote diversity through facilitation of ancient tertiary lineages,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,103,10.1073/pnas.0604933103,2006
2016,41,"Gomez, JM","Long-term effects of ungulates on performance, abundance, and spatial distribution of two montane herbs",ECOLOGICAL MONOGRAPHS,75,10.1890/04-0722,2005
2016,42,"Farji-Brener, AG; Ghermandi, L",Seedling recruitment in a semi-arid Patagonian steppe: Facilitative effects of refuse dumps of leaf-cutting ants,JOURNAL OF VEGETATION SCIENCE,15,10.1658/1100-9233(2004)015[0823:SRIASP]2.0.CO;2,2004
2016,43,"Gillespie, IG; Loik, ME",Pulse events in Great Basin Desert shrublands: physiological responses of Artemisia tridentata and Purshia tridentata seedlings to increased summer precipitation,JOURNAL OF ARID ENVIRONMENTS,59,10.1016/j.jaridenv.2004.01.007,2004
2016,44,"Harris, MR; Facelli, JM","Competition and resource availability in an annual plant community dominated by an invasive species, Carrichtera annua (L. Aschers.), in South Australia",PLANT ECOLOGY,167,10.1023/A:1023981500007,2003
2016,45,"Wardle, DA; Peltzer, DA",Interspecific interactions and biomass allocation among grassland plant species,OIKOS,100,10.1034/j.1600-0706.2003.12030.x,2003
2016,46,"Paez, SA; Marco, DE",Seedling habitat structure in dry Chaco forest (Argentina),JOURNAL OF ARID ENVIRONMENTS,46,10.1006/jare.2000.0648,2000
2016,47,"Weltzin, JF; McPherson, GR",Implications of precipitation redistribution for shifts in temperate savanna ecotones,ECOLOGY,81,,2000
2016,48,"Mortimer, SR; Van der Putten, WH; Brown, VK",Insect and nematode herbivory below ground: interactions and role in vegetation succession,HERBIVORES: BETWEEN PLANTS AND PREDATORS,,,1999
2016,49,"Preston, CA; Baldwin, IT","Positive and negative signals regulate germination in the post-fire annual, Nicotiana attenuata",ECOLOGY,80,10.1890/0012-9658(1999)080[0481:PANSRG]2.0.CO;2,1999
2016,50,"Haase, P; Pugnaire, FI; Clark, SC; Incoll, LD",Spatial patterns in a two-tiered semi-arid shrubland in southeastern Spain,JOURNAL OF VEGETATION SCIENCE,7,10.2307/3236301,1996
2016,51,"MONTANA, C; CAVAGNARO, B; BRIONES, O","SOIL-WATER USE BY COEXISTING SHRUBS AND GRASSES IN THE SOUTHERN CHIHUAHUAN DESERT, MEXICO",JOURNAL OF ARID ENVIRONMENTS,31,10.1006/jare.1995.0043,1995
2016,52,"ANTHONY, RG; SMITH, NS",ECOLOGICAL RELATIONSHIPS BETWEEN MULE DEER AND WHITE-TAILED DEER IN SOUTHEASTERN ARIZONA,ECOLOGICAL MONOGRAPHS,47,10.2307/1942517,1977
2016,53,"WELLS, PV; HUNZIKER, JH",ORIGIN OF CREOSOTE BUSH (LARREA) DESERTS OF SOUTHWESTERN NORTH-AMERICA,ANNALS OF THE MISSOURI BOTANICAL GARDEN,63,10.2307/2395251,1976
